movieId,title,genres,year,clean_title,genre
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995.0,Toy Story,Adventure
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995.0,Toy Story,Animation
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995.0,Toy Story,Children
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995.0,Toy Story,Comedy
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995.0,Toy Story,Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy,1995.0,Jumanji,Adventure
2,Jumanji (1995),Adventure|Children|Fantasy,1995.0,Jumanji,Children
2,Jumanji (1995),Adventure|Children|Fantasy,1995.0,Jumanji,Fantasy
3,Grumpier Old Men (1995),Comedy|Romance,1995.0,Grumpier Old Men,Comedy
3,Grumpier Old Men (1995),Comedy|Romance,1995.0,Grumpier Old Men,Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995.0,Waiting to Exhale,Comedy
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995.0,Waiting to Exhale,Drama
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995.0,Waiting to Exhale,Romance
5,Father of the Bride Part II (1995),Comedy,1995.0,Father of the Bride Part II,Comedy
6,Heat (1995),Action|Crime|Thriller,1995.0,Heat,Action
6,Heat (1995),Action|Crime|Thriller,1995.0,Heat,Crime
6,Heat (1995),Action|Crime|Thriller,1995.0,Heat,Thriller
7,Sabrina (1995),Comedy|Romance,1995.0,Sabrina,Comedy
7,Sabrina (1995),Comedy|Romance,1995.0,Sabrina,Romance
8,Tom and Huck (1995),Adventure|Children,1995.0,Tom and Huck,Adventure
8,Tom and Huck (1995),Adventure|Children,1995.0,Tom and Huck,Children
9,Sudden Death (1995),Action,1995.0,Sudden Death,Action
10,GoldenEye (1995),Action|Adventure|Thriller,1995.0,GoldenEye,Action
10,GoldenEye (1995),Action|Adventure|Thriller,1995.0,GoldenEye,Adventure
10,GoldenEye (1995),Action|Adventure|Thriller,1995.0,GoldenEye,Thriller
11,"American President, The (1995)",Comedy|Drama|Romance,1995.0,"American President, The",Comedy
11,"American President, The (1995)",Comedy|Drama|Romance,1995.0,"American President, The",Drama
11,"American President, The (1995)",Comedy|Drama|Romance,1995.0,"American President, The",Romance
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995.0,Dracula: Dead and Loving It,Comedy
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995.0,Dracula: Dead and Loving It,Horror
13,Balto (1995),Adventure|Animation|Children,1995.0,Balto,Adventure
13,Balto (1995),Adventure|Animation|Children,1995.0,Balto,Animation
13,Balto (1995),Adventure|Animation|Children,1995.0,Balto,Children
14,Nixon (1995),Drama,1995.0,Nixon,Drama
15,Cutthroat Island (1995),Action|Adventure|Romance,1995.0,Cutthroat Island,Action
15,Cutthroat Island (1995),Action|Adventure|Romance,1995.0,Cutthroat Island,Adventure
15,Cutthroat Island (1995),Action|Adventure|Romance,1995.0,Cutthroat Island,Romance
16,Casino (1995),Crime|Drama,1995.0,Casino,Crime
16,Casino (1995),Crime|Drama,1995.0,Casino,Drama
17,Sense and Sensibility (1995),Drama|Romance,1995.0,Sense and Sensibility,Drama
17,Sense and Sensibility (1995),Drama|Romance,1995.0,Sense and Sensibility,Romance
18,Four Rooms (1995),Comedy,1995.0,Four Rooms,Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy,1995.0,Ace Ventura: When Nature Calls,Comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995.0,Money Train,Action
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995.0,Money Train,Comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995.0,Money Train,Crime
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995.0,Money Train,Drama
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995.0,Money Train,Thriller
21,Get Shorty (1995),Comedy|Crime|Thriller,1995.0,Get Shorty,Comedy
21,Get Shorty (1995),Comedy|Crime|Thriller,1995.0,Get Shorty,Crime
21,Get Shorty (1995),Comedy|Crime|Thriller,1995.0,Get Shorty,Thriller
